platform_code,time,latitude,longitude,windspd,winddir,slp,drogue,sst,battery,presdiff,salinity,conductivity,gpsfixdel,avgwaveperiod,wvht,domwaveperiod,domwavedir
,UTC,degrees_north,degrees_east,m/s,degree,hPa,,deg C,volts,hPa,PSU,,,s,m,s,degree
6402618,2023-11-20T00:00:00Z,24.0912,-49.89,NaN,NaN,1019.6,NaN,27.69,11.0,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203861,2023-11-20T00:00:00Z,26.3884,-45.7798,NaN,NaN,1021.8,NaN,27.12,10.4,0.4,NaN,NaN,5,NaN,NaN,NaN,NaN
5102827,2023-11-20T00:00:00Z,7.0238,-80.2466,NaN,NaN,1010.0,NaN,NaN,10.0,1.2,NaN,NaN,4,NaN,NaN,NaN,NaN
6203840,2023-11-20T00:00:00Z,26.2588,-50.708,NaN,NaN,1019.6,NaN,26.86,10.8,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6801791,2023-11-20T00:00:00Z,32.362,-40.4566,NaN,NaN,1028.2,7,24.67,10.4,0.1,NaN,NaN,5,NaN,NaN,NaN,NaN
3101583,2023-11-20T00:00:00Z,5.481,-36.9058,NaN,NaN,NaN,19,28.88,11.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501724,2023-11-20T00:00:00Z,26.3048,-56.5378,NaN,NaN,NaN,NaN,26.52,9.2,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
3201769,2023-11-20T00:00:00Z,30.3258,-69.3218,NaN,NaN,NaN,12,24.27,10.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101885,2023-11-20T00:00:00Z,38.088,-69.8932,NaN,NaN,NaN,19,NaN,10.8,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
1301723,2023-11-20T00:00:00Z,18.177,-51.9266,NaN,NaN,1017.5,NaN,28.38,11.2,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5802077,2023-11-20T00:00:00Z,32.6523089,-61.6624074,NaN,NaN,1007.9,NaN,23.81,10.4,0.0,NaN,NaN,NaN,8.3,3.43,10,197.0
4804103,2023-11-20T00:00:00Z,25.7963465,-80.197866,NaN,NaN,1012.0,NaN,26.01,10.6,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801783,2023-11-20T00:00:00Z,29.0359288,-80.8986956,NaN,NaN,1013.0,NaN,21.73,10.6,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4804102,2023-11-20T00:00:00Z,18.4246346,-93.4039236,NaN,NaN,1009.8,NaN,25.35,10.2,0.0,NaN,NaN,NaN,7.0,0.15,12,332.5
5802076,2023-11-20T00:00:00Z,21.5891677,-95.7593291,NaN,NaN,1008.4,NaN,27.03,10.6,0.0,NaN,NaN,NaN,4.2,0.69,8,27.4
4804104,2023-11-20T00:00:00Z,24.4253906,-89.0916381,NaN,NaN,1012.1,NaN,27.05,9.4,0.0,NaN,NaN,NaN,5.05,0.59,6,22.3
