platform_code,time,latitude,longitude,slp,drogue,sst,battery,presdiff,salinity,gpsfixdel
,UTC,degrees_north,degrees_east,hPa,,deg C,volts,hPa,PSU,
6402619,2024-10-27T00:00:00Z,21.3376,-52.996,1016.2,NaN,29.39,10.4,1.0,NaN,NaN
5801977,2024-10-27T00:00:00Z,18.3174,-61.694,1015.0,46,30.12,10.4,0.0,NaN,NaN
3101583,2024-10-27T00:00:00Z,13.4948,-51.4296,NaN,9,29.48,10.6,NaN,NaN,NaN
1501724,2024-10-27T00:00:00Z,35.9186,-58.731,NaN,NaN,24.14,8.8,NaN,NaN,5
4804016,2024-10-27T00:00:00Z,14.5908,-47.0772,1015.6,49,29.13,10.4,0.0,NaN,NaN
7810318,2024-10-27T00:00:00Z,36.0181777,-55.2465554,1018.7,NaN,25.15,9.2,0.0,NaN,NaN
7810329,2024-10-27T00:00:00Z,36.1604103,-68.8393372,1018.3,NaN,24.76,9.8,0.0,NaN,NaN
7810298,2024-10-27T00:00:00Z,36.0963504,-57.0951921,1018.7,NaN,23.93,8.6,0.0,NaN,NaN
7810330,2024-10-27T00:00:00Z,28.9471625,-73.4966914,1021.6,NaN,26.66,10.0,0.0,NaN,NaN
7810327,2024-10-27T00:00:00Z,30.960926,-72.6218637,1022.1,NaN,25.28,8.8,0.0,NaN,NaN
7810293,2024-10-27T00:00:00Z,39.375529,-45.8161118,1018.8,NaN,21.36,7.2,0.0,NaN,NaN
7810380,2024-10-27T00:00:00Z,37.0414222,-62.9193395,1018.7,NaN,24.24,10.4,0.0,NaN,NaN
7810294,2024-10-27T00:00:00Z,34.100351,-72.7617746,1020.9,NaN,24.83,7.4,0.0,NaN,NaN
7810320,2024-10-27T00:00:00Z,36.9143044,-60.9534144,1018.9,NaN,23.74,9.6,0.0,NaN,NaN
7810321,2024-10-27T00:00:00Z,36.7066673,-43.1765902,1021.8,NaN,23.06,7.6,0.0,NaN,NaN
7810325,2024-10-27T00:00:00Z,31.4547675,-63.6847308,1020.0,NaN,25.8,9.8,0.0,NaN,NaN
7810328,2024-10-27T00:00:00Z,32.3083637,-76.0197516,1022.5,NaN,25.42,10.0,0.0,NaN,NaN
7810331,2024-10-27T00:00:00Z,33.8027139,-72.440128,1021.3,NaN,24.69,9.6,0.0,NaN,NaN
7810297,2024-10-27T00:00:00Z,32.0871906,-46.9969562,1018.5,NaN,23.78,9.0,0.0,NaN,NaN
7810377,2024-10-27T00:00:00Z,35.482229,-67.7782306,1019.9,NaN,24.81,9.2,0.0,NaN,NaN
7810378,2024-10-27T00:00:00Z,34.6418838,-67.6971644,1020.6,NaN,24.77,9.2,0.0,NaN,NaN
7810332,2024-10-27T00:00:00Z,34.5572986,-66.0537875,1020.3,NaN,24.46,9.8,0.0,NaN,NaN
7810314,2024-10-27T00:00:00Z,39.8474576,-54.7698528,1016.8,NaN,24.34,10.2,0.0,NaN,NaN
7810379,2024-10-27T00:00:00Z,38.5909936,-46.4964721,1018.7,NaN,23.38,10.4,0.0,NaN,NaN
7810396,2024-10-27T00:04:00Z,26.913496,-89.6792808,NaN,NaN,26.87,NaN,0.0,NaN,364
7810389,2024-10-27T00:00:00Z,26.6839709,-93.8200112,1021.6,NaN,27.9,10.4,0.0,NaN,NaN
1301714,2024-10-27T01:00:00Z,29.3804,-63.9232,1019.7,NaN,27.35,10.4,1.1,NaN,NaN
1301735,2024-10-27T01:00:00Z,24.2986,-44.1396,1018.2,NaN,28.21,10.2,0.8,NaN,NaN
6402615,2024-10-27T01:00:00Z,26.0616,-72.611,1019.9,NaN,28.11,10.4,1.0,NaN,NaN
4102557,2024-10-27T01:00:00Z,34.889,-71.797,1020.7,6,26.91,10.2,0.6,NaN,4
1301726,2024-10-27T01:00:00Z,27.7624,-50.6552,1016.6,NaN,27.59,10.6,-0.2,NaN,NaN
4102547,2024-10-27T01:00:00Z,29.4386,-77.536,1022.7,12,27.57,8.2,0.0,NaN,NaN
4101860,2024-10-27T01:00:00Z,21.0976,-44.5856,NaN,19,27.98,10.2,NaN,NaN,5
7810318,2024-10-27T01:00:00Z,36.0153833,-55.2339854,1018.8,NaN,25.13,9.2,0.0,NaN,NaN
2802011,2024-10-27T01:00:00Z,39.3748,-70.4812,1020.9,24,20.28,12.0,2.6,NaN,1
3101577,2024-10-27T01:00:00Z,12.9026,-42.5338,NaN,5,28.58,11.0,NaN,NaN,NaN
7810326,2024-10-27T01:00:00Z,26.8322867,-77.3717632,1021.2,NaN,23.78,8.6,0.0,NaN,NaN
7810329,2024-10-27T01:00:00Z,36.162162,-68.8306679,1019.1,NaN,24.75,9.8,0.0,NaN,NaN
3101515,2024-10-27T01:00:00Z,35.6402,-55.273,NaN,NaN,24.6,12.8,NaN,NaN,NaN
7810298,2024-10-27T01:00:00Z,36.0932433,-57.0895646,1018.9,NaN,23.9,8.6,0.0,NaN,NaN
7810290,2024-10-27T01:00:00Z,31.838,-72.3008,1022.5,41,25.5,11.2,0.0,NaN,NaN
7810330,2024-10-27T01:00:00Z,28.9364661,-73.4897238,1021.8,NaN,26.69,10.0,0.0,NaN,NaN
7810327,2024-10-27T01:00:00Z,30.963537,-72.6219023,1022.6,NaN,25.27,8.8,0.0,NaN,NaN
4101542,2024-10-27T01:00:00Z,34.2992,-42.4848,NaN,NaN,NaN,8.2,NaN,NaN,NaN
6203768,2024-10-27T01:00:00Z,34.1948,-44.2426,1019.9,NaN,25.2,9.4,0.1,NaN,NaN
4101851,2024-10-27T01:00:00Z,27.613,-60.0818,1017.4,NaN,28.23,11.0,1.2,NaN,NaN
4402670,2024-10-27T01:00:00Z,20.828,-78.9286,1015.7,NaN,28.31,10.4,1.8,NaN,NaN
4402721,2024-10-27T01:00:00Z,18.5842,-59.0434,1015.7,NaN,29.77,10.6,1.5,NaN,NaN
7810293,2024-10-27T01:00:00Z,39.380782,-45.8008472,1019.1,NaN,21.37,7.2,0.0,NaN,NaN
4101861,2024-10-27T01:00:00Z,28.1084,-47.5498,1018.3,NaN,27.14,10.4,-0.2,NaN,5
1701718,2024-10-27T01:00:00Z,20.7296,-69.2218,868.9,NaN,NaN,17.2,0.0,NaN,NaN
4101858,2024-10-27T01:00:00Z,32.5248,-62.7336,NaN,9,NaN,10.2,NaN,NaN,5
7810380,2024-10-27T01:00:00Z,37.0756069,-62.9242328,1018.6,NaN,24.25,10.4,0.0,NaN,NaN
7810294,2024-10-27T01:00:00Z,34.1099713,-72.7734231,1021.2,NaN,24.92,7.4,0.0,NaN,NaN
7810381,2024-10-27T01:02:00Z,19.272,-95.2614,1019.4,20,28.67,11.4,0.0,NaN,NaN
7810291,2024-10-27T01:00:00Z,28.0528,-74.3726,1021.9,53,27.15,11.2,0.0,NaN,NaN
7810311,2024-10-27T01:00:00Z,37.0096,-75.8116,1024.9,37,18.84,11.2,0.0,NaN,NaN
7810323,2024-10-27T01:00:00Z,26.8286,-60.6802,1018.6,18,28.31,11.4,0.0,NaN,NaN
7810312,2024-10-27T01:00:00Z,36.4838,-68.2968,1018.6,32,24.72,11.4,0.0,NaN,NaN
6203842,2024-10-27T01:00:00Z,28.636,-52.387,1015.4,NaN,27.27,10.8,0.2,NaN,NaN
7810324,2024-10-27T01:00:00Z,32.5488,-65.2544,1020.9,34,25.23,11.4,0.0,NaN,NaN
7810320,2024-10-27T01:00:00Z,36.9092504,-60.9515901,1019.1,NaN,23.75,9.6,0.0,NaN,NaN
7801572,2024-10-27T01:00:00Z,19.493,-58.6528,1015.6,39,29.86,10.8,0.0,NaN,NaN
7810321,2024-10-27T01:00:00Z,36.7105355,-43.1927467,1021.2,NaN,22.93,7.6,0.0,NaN,NaN
7810325,2024-10-27T01:00:00Z,31.4511282,-63.6888791,1020.3,NaN,25.78,9.8,0.0,NaN,NaN
4101862,2024-10-27T01:00:00Z,16.226,-51.1476,1015.0,NaN,29.29,10.2,1.3,NaN,4
7810322,2024-10-27T01:00:00Z,23.7514,-68.6796,1018.4,31,29.17,10.0,0.0,NaN,NaN
7810328,2024-10-27T01:00:00Z,32.3064903,-76.0295126,1022.8,NaN,25.42,10.0,0.0,NaN,NaN
6203839,2024-10-27T01:00:00Z,32.1282,-49.4842,1015.9,NaN,25.5,10.0,0.2,NaN,NaN
4402674,2024-10-27T01:00:00Z,25.4624,-61.8284,1017.9,NaN,29.19,10.4,1.1,NaN,NaN
7810383,2024-10-27T01:00:00Z,24.3158,-89.4886,1019.9,46,27.9,10.0,0.0,NaN,NaN
5802000,2024-10-27T01:00:00Z,25.1582,-72.053,1019.4,14,28.08,11.8,1.3,NaN,NaN
1301575,2024-10-27T01:00:00Z,30.8242,-41.8526,NaN,NaN,NaN,12.0,NaN,NaN,NaN
7810331,2024-10-27T01:00:00Z,33.8043432,-72.4429007,1021.3,NaN,24.69,9.8,0.0,NaN,NaN
7810297,2024-10-27T01:00:00Z,32.0794458,-46.9968523,1018.5,NaN,23.76,9.0,0.0,NaN,NaN
1301810,2024-10-27T01:00:00Z,38.4998,-39.6446,1025.3,23,20.76,11.4,-0.3,NaN,NaN
6402616,2024-10-27T01:00:00Z,27.9744,-46.4334,1018.7,NaN,27.58,10.4,-0.1,NaN,NaN
7810377,2024-10-27T01:00:00Z,35.4595581,-67.7694958,1019.9,NaN,24.78,9.2,0.0,NaN,NaN
1501780,2024-10-27T01:00:00Z,29.4896,-60.6028,NaN,NaN,27.8,10.2,NaN,NaN,4
4402675,2024-10-27T01:00:00Z,31.5104,-65.959,1020.6,NaN,25.44,10.4,0.8,NaN,NaN
4601782,2024-10-27T01:00:00Z,29.5236,-48.168,1017.7,NaN,27.56,13.2,0.2,NaN,NaN
7810378,2024-10-27T01:00:00Z,34.6309107,-67.6906399,1020.6,NaN,24.76,9.2,0.0,NaN,NaN
4101859,2024-10-27T01:00:00Z,16.1452,-52.6594,1015.0,12,29.39,10.2,1.2,NaN,5
7810332,2024-10-27T01:00:00Z,34.558356,-66.0373867,1020.5,NaN,24.46,9.8,0.0,NaN,NaN
4402665,2024-10-27T01:00:00Z,26.5682,-78.7972,1021.7,NaN,NaN,8.8,1.0,NaN,5
6203771,2024-10-27T01:00:00Z,25.855,-53.3444,1016.1,NaN,27.13,10.2,0.6,NaN,NaN
4402882,2024-10-27T01:03:00Z,34.737,-47.4194,1017.9,26,23.38,7.2,0.0,NaN,NaN
7810314,2024-10-27T01:00:00Z,39.8311655,-54.7688226,1016.9,NaN,24.32,10.2,0.0,NaN,NaN
5301665,2024-10-27T01:00:00Z,38.861,-70.475,NaN,1,20.9,14.6,NaN,NaN,NaN
4102501,2024-10-27T01:00:00Z,13.8922,-72.0112,NaN,15,30.35,11.8,NaN,NaN,1
2802022,2024-10-27T01:00:00Z,36.3492,-73.7214,1023.3,18,23.08,12.2,1.8,NaN,NaN
6203772,2024-10-27T01:00:00Z,35.8172,-65.6652,1019.2,NaN,24.42,10.4,0.3,NaN,NaN
3801632,2024-10-27T01:00:00Z,-2.7512,158.975,NaN,26,31.37,12.0,NaN,NaN,NaN
6402617,2024-10-27T01:00:00Z,32.547,-56.0396,1018.8,NaN,26.83,10.6,0.6,NaN,NaN
4201523,2024-10-27T01:00:00Z,32.0142,-49.2354,NaN,NaN,25.73,12.6,NaN,NaN,NaN
1301712,2024-10-27T01:00:00Z,23.889,-62.6308,1017.0,NaN,29.18,10.0,0.9,NaN,NaN
7810379,2024-10-27T01:00:00Z,38.5965608,-46.4775121,1018.4,NaN,23.41,10.4,0.0,NaN,NaN
1301737,2024-10-27T01:00:00Z,28.9746,-59.39,1018.5,NaN,27.72,10.6,1.0,NaN,NaN
6203890,2024-10-27T01:00:00Z,10.7868,-45.6454,1013.3,NaN,28.95,11.2,0.0,NaN,NaN
1301731,2024-10-27T01:00:00Z,21.4514,-52.5222,1016.9,NaN,29.14,10.6,1.2,NaN,243
5301664,2024-10-27T01:00:00Z,38.3824,-74.6982,NaN,3,18.42,15.4,NaN,NaN,NaN
1301795,2024-10-27T01:00:00Z,25.3788,-74.0598,1019.5,NaN,NaN,9.2,0.0,NaN,NaN
4102500,2024-10-27T01:00:00Z,20.2136,-60.335,NaN,17,30.45,11.6,NaN,NaN,NaN
6203597,2024-10-27T01:00:00Z,28.0014,-75.4996,NaN,NaN,26.96,8.6,0.0,NaN,NaN
6203849,2024-10-27T01:00:00Z,36.2072,-64.8612,1018.8,NaN,24.89,9.8,0.2,NaN,5
3801598,2024-10-27T01:00:00Z,37.4252,-60.8916,1018.3,21,24.62,11.8,0.1,NaN,NaN
1301817,2024-10-27T01:00:00Z,32.673,-65.3728,1021.0,24,25.2,11.6,0.8,NaN,NaN
6203846,2024-10-27T01:00:00Z,30.0644,-43.671,1020.0,NaN,26.85,10.6,0.1,NaN,NaN
1301818,2024-10-27T01:00:00Z,32.2126,-66.0816,1021.0,47,25.03,11.6,0.8,NaN,NaN
1301797,2024-10-27T01:01:00Z,19.9278,-57.3458,1016.2,23,29.9,8.4,0.0,NaN,NaN
1301770,2024-10-27T01:00:00Z,29.1186,-51.6694,1015.5,NaN,27.17,11.0,0.0,NaN,NaN
1301798,2024-10-27T01:00:00Z,30.972,-41.2548,1022.0,NaN,26.55,10.2,0.0,NaN,NaN
4402744,2024-10-27T01:00:00Z,34.8672,-56.5114,1019.1,NaN,25.66,9.6,0.5,NaN,5
1301718,2024-10-27T01:00:00Z,32.815,-41.9142,1021.9,NaN,25.78,10.2,-0.3,NaN,NaN
4804036,2024-10-27T01:00:00Z,25.7356,-72.3636,1020.2,3,27.57,11.6,1.2,NaN,NaN
7810388,2024-10-27T01:00:00Z,18.6545945,-95.2586603,1000.2,NaN,24.81,10.2,0.0,NaN,NaN
6402618,2024-10-27T01:00:00Z,18.8876,-50.9102,1016.3,NaN,28.99,10.8,0.9,NaN,NaN
6203784,2024-10-27T01:00:00Z,20.7258,-53.102,NaN,NaN,29.39,5.4,0.0,NaN,NaN
1301725,2024-10-27T01:00:00Z,31.2298,-45.2754,1019.4,NaN,24.87,10.2,0.1,NaN,NaN
6203861,2024-10-27T01:00:00Z,36.045,-65.0016,NaN,NaN,24.75,9.6,NaN,NaN,4
7810389,2024-10-27T01:00:00Z,26.6762111,-93.8313951,1021.8,NaN,27.84,10.4,0.0,NaN,NaN
4101886,2024-10-27T01:00:00Z,18.1912,-55.3612,NaN,11,29.53,11.6,NaN,NaN,NaN
6402619,2024-10-27T01:00:00Z,21.3268,-52.9994,1016.7,NaN,29.37,10.4,1.2,NaN,NaN
5801977,2024-10-27T01:00:00Z,18.3142,-61.699,1015.4,47,30.08,10.4,0.0,NaN,NaN
3101583,2024-10-27T01:00:00Z,13.493,-51.4278,NaN,9,29.46,10.6,NaN,NaN,NaN
1501724,2024-10-27T01:00:00Z,35.9102,-58.7354,NaN,NaN,24.14,8.8,NaN,NaN,4
4804016,2024-10-27T01:00:00Z,14.5902,-47.0812,1015.5,47,29.13,10.4,0.0,NaN,NaN
1301714,2024-10-27T02:00:00Z,29.3852,-63.931,1019.9,NaN,27.35,10.4,1.1,NaN,NaN
1301735,2024-10-27T02:00:00Z,24.2922,-44.1434,1017.9,NaN,28.2,10.2,-0.1,NaN,NaN
6402615,2024-10-27T02:00:00Z,26.0486,-72.6272,1020.3,NaN,28.11,10.4,1.2,NaN,NaN
4102557,2024-10-27T02:00:00Z,34.8886,-71.7962,1021.4,6,26.91,10.2,1.4,NaN,4
1301726,2024-10-27T02:00:00Z,27.7608,-50.65,1016.4,NaN,27.58,10.6,-0.2,NaN,NaN
4102547,2024-10-27T02:00:00Z,29.4404,-77.5364,1023.5,12,27.54,8.2,0.0,NaN,NaN
4101860,2024-10-27T02:00:00Z,21.0928,-44.5896,NaN,19,27.98,10.2,NaN,NaN,4
7810318,2024-10-27T02:00:00Z,36.0116763,-55.2224251,1018.6,NaN,25.14,9.2,0.0,NaN,NaN
2802011,2024-10-27T02:00:00Z,39.3788,-70.4862,1021.7,24,20.24,12.0,2.2,NaN,2
3101577,2024-10-27T02:00:00Z,12.8974,-42.5328,NaN,8,28.57,11.0,NaN,NaN,NaN
7810329,2024-10-27T02:00:00Z,36.1595697,-68.8234588,1019.5,NaN,24.74,9.8,0.0,NaN,NaN
3101515,2024-10-27T02:00:00Z,35.6404,-55.259,NaN,NaN,24.6,12.8,NaN,NaN,NaN
7810298,2024-10-27T02:00:00Z,36.0892139,-57.0830403,1018.8,NaN,23.89,8.6,0.0,NaN,NaN
7810290,2024-10-27T02:00:00Z,31.842,-72.288,1023.0,38,25.5,11.4,0.0,NaN,NaN
7810330,2024-10-27T02:00:00Z,28.9263738,-73.4843094,1022.0,NaN,26.69,10.0,0.0,NaN,NaN
7810327,2024-10-27T02:00:00Z,30.963764,-72.6218573,1022.7,NaN,25.28,8.8,0.0,NaN,NaN
4101542,2024-10-27T02:00:00Z,34.3098,-42.4942,NaN,NaN,NaN,8.2,NaN,NaN,NaN
6203768,2024-10-27T02:00:00Z,34.2136,-44.2432,1019.9,NaN,25.21,9.4,0.0,NaN,NaN
